timestamp,stock_fear_greed,crypto_fear_greed,vix,vix_normalized,mood_score,mood_label
2026-01-17T10:27:08.309160+00:00,62.17,50.0,15.86,6.15,68.02,CLOUDY
2026-01-17T11:43:31.755944+00:00,62.17,50.0,15.86,6.15,68.02,CLOUDY
2026-01-17T13:16:33.469343+00:00,62.17,50.0,15.86,6.15,68.02,CLOUDY
2026-01-17T13:16:53.930317+00:00,62.17,50.0,15.86,6.15,68.02,CLOUDY
2026-01-31T11:00:10.846924+00:00,57.94,20.0,17.44,10.22,56.11,CLOUDY
2026-01-31T11:24:50.572672+00:00,57.94,20.0,17.44,10.22,58.61,CLOUDY
2026-02-15T06:10:25.780424+00:00,36.27,8.0,20.6,18.35,41.4,CLOUDY
2026-02-15T06:26:19.509439+00:00,36.27,8.0,20.6,18.35,41.4,CLOUDY
2026-02-15T06:40:23.014626+00:00,36.27,8.0,20.6,18.35,41.4,CLOUDY
2026-02-15T06:43:36.919762+00:00,36.27,8.0,20.6,18.35,41.4,CLOUDY
2026-02-15T07:10:59.952845+00:00,36.27,8.0,20.6,18.35,41.4,CLOUDY
2026-02-15T07:11:34.525727+00:00,36.27,8.0,20.6,18.35,41.4,CLOUDY
2026-02-15T07:29:43.596422+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T07:57:06.780918+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T08:22:21.305408+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T08:50:57.763105+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T09:45:30.650140+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T10:21:56.621709+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T11:01:55.787742+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T11:54:29.184178+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T13:27:49.650124+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T13:54:22.658126+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T14:42:23.660184+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T15:21:23.433444+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T15:59:19.969624+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T17:01:52.285478+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T17:53:06.341611+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T18:55:54.027953+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T19:36:20.161049+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T20:21:02.776893+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T21:01:34.851209+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T21:55:29.851082+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T22:53:32.591099+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-15T23:42:45.693380+00:00,45.47,8.0,20.6,18.35,45.08,CLOUDY
2026-02-16T01:48:14.397402+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T03:33:46.838111+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T04:09:22.585891+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T04:38:10.594314+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T05:11:09.913729+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T05:42:15.440385+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T06:03:55.281581+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T06:46:22.889534+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T07:40:04.687122+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T08:05:55.532812+00:00,45.47,12.0,20.6,18.35,46.28,CLOUDY
2026-02-16T09:07:33.958073+00:00,45.47,12.0,20.68,18.55,46.22,CLOUDY
2026-02-16T10:08:11.774003+00:00,45.47,12.0,20.39,17.81,46.45,CLOUDY
2026-02-16T10:43:49.054537+00:00,45.47,12.0,20.5,18.09,46.36,CLOUDY
2026-02-16T11:29:11.478282+00:00,45.47,12.0,20.57,18.27,46.31,CLOUDY
2026-02-16T12:04:22.726308+00:00,45.47,12.0,20.54,18.19,46.33,CLOUDY
2026-02-16T13:46:51.396836+00:00,45.47,12.0,20.54,18.19,46.33,CLOUDY
2026-02-16T14:11:59.566531+00:00,45.47,12.0,20.63,18.43,46.26,CLOUDY
2026-02-16T14:58:07.703226+00:00,45.47,12.0,21.41,20.43,45.66,CLOUDY
2026-02-16T15:37:01.005188+00:00,45.47,12.0,21.24,19.99,45.79,CLOUDY
